apt_name,city,deal_amount,exclusive_area,floor,deal_year,deal_month,deal_day,build_year,regional_code,cancel_date,is_cancelled
브라운스톤역삼,역삼동,"111,000",,6,2026,4,5,2004,11680, ,True
대치SKVIEW,대치동,"370,000",,2,2026,4,8,2017,11680, ,True
삼성풍림2차아파트,삼성동,"148,200",,12,2026,4,2,1998,11680, ,True
대우디오빌,역삼동,"70,000",,23,2026,4,7,2002,11680, ,True
삼익대청아파트,개포동,"215,000",,12,2026,4,6,1992,11680, ,True
역삼I'PARK,역삼동,"98,000",,12,2026,4,6,2006,11680, ,True
삼성풍림2차아파트,삼성동,"148,200",,12,2026,4,2,1998,11680,26.04.08,True
삼성청담아파트,청담동,"198,000",,18,2026,4,3,1999,11680, ,True
까치마을,수서동,"137,500",,3,2026,4,4,1993,11680, ,True
강남한양수자인(4단지),자곡동,"215,000",,3,2026,4,3,2014,11680, ,True
한양수자인어반게이트,논현동,"18,000",,9,2026,4,2,2013,11680, ,True
청담자이,청담동,"284,000",,21,2026,4,1,2011,11680, ,True
디에이치포레센트,일원동,"300,000",,4,2026,4,3,2021,11680, ,True
신반포16,잠원동,"207,119",,7,2026,4,3,1983,11650, ,True
서초5차e편한세상,서초동,"258,000",,13,2026,4,6,2005,11650, ,True
서초동삼성쉐르빌2,서초동,"25,000",,3,2026,4,7,2002,11650, ,True
대우아이빌,잠원동,"67,800",,9,2026,4,4,2001,11650, ,True
힐스테이트서초젠트리스,신원동,"200,000",,6,2026,4,4,2014,11650, ,True
아크로리버파크,반포동,"850,000",,15,2026,4,1,2016,11650, ,True
파크리오,신천동,"275,000",,7,2026,4,8,2008,11710, ,True
올림픽선수기자촌2단지,방이동,"370,000",,1,2026,4,9,1988,11710, ,True
올림픽훼밀리타운,문정동,"320,000",,3,2026,4,9,1988,11710, ,True
파크리오,신천동,"239,000",,3,2026,4,6,2008,11710, ,True
트리지움,잠실동,"313,000",,18,2026,4,6,2007,11710, ,True
트리지움,잠실동,"269,000",,16,2026,4,7,2007,11710, ,True
헬리오시티,가락동,"271,000",,17,2026,4,3,2018,11710, ,True
헬리오시티,가락동,"269,000",,1,2026,4,8,2018,11710, ,True
광명아파트,방이동,"80,000",,6,2026,4,8,2007,11710, ,True
송파레미니스,오금동,"175,000",,15,2026,4,8,2017,11710, ,True
가락미륭아파트,가락동,"186,000",,5,2026,4,8,1986,11710, ,True
현대리버빌2지구,풍납동,"71,000",,5,2026,4,8,1999,11710, ,True
리센츠,잠실동,"335,000",,28,2026,4,4,2008,11710, ,True
문정시영,문정동,"105,000",,9,2026,4,1,1989,11710, ,True
상아2차아파트,오금동,"134,500",,11,2026,4,7,1988,11710, ,True
잠실엘스,잠실동,"310,000",,9,2026,4,6,2008,11710, ,True
토성현대,풍납동,"84,300",,9,2026,4,7,1986,11710, ,True
리센츠,잠실동,"336,000",,22,2026,4,7,2008,11710, ,True
잠실엘스,잠실동,"310,000",,19,2026,4,4,2008,11710, ,True
대림,가락동,"100,000",,12,2026,4,6,1988,11710, ,True
현대백조,오금동,"66,000",,2,2026,4,4,1997,11710, ,True
올림픽선수기자촌1단지,방이동,"280,000",,1,2026,4,6,1988,11710, ,True
엘리시움아파트,오금동,"84,000",,9,2026,4,4,2017,11710, ,True
거여4단지,거여동,"139,000",,11,2026,4,5,1997,11710, ,True
문정시영,문정동,"106,000",,9,2026,4,4,1989,11710, ,True
파크리오,신천동,"287,000",,4,2026,4,3,2008,11710, ,True
레이크팰리스,잠실동,"402,000",,13,2026,4,3,2006,11710, ,True
주성파크뷰,문정동,"56,500",,2,2026,4,3,2003,11710, ,True
한신잠실코아,신천동,"137,000",,12,2026,4,1,1988,11710, ,True
헬리오시티,가락동,"315,000",,16,2026,4,2,2018,11710, ,True
리센츠,잠실동,"350,000",,11,2026,4,3,2008,11710, ,True
잠실엘스,잠실동,"336,000",,15,2026,4,2,2008,11710, ,True
올림픽선수기자촌3단지,방이동,"300,000",,10,2026,4,2,1988,11710, ,True
올림픽카운티,방이동,"61,000",,9,2026,4,1,2003,11710, ,True
그린아파트,가락동,"50,700",,8,2026,4,2,1996,11710, ,True
송파파크데일1단지,마천동,"137,000",,9,2026,4,1,2011,11710, ,True
코오롱아파트,방이동,"200,000",,10,2026,4,1,1991,11710, ,True
거여4단지,거여동,"126,000",,2,2026,4,1,1997,11710, ,True
판교퍼스트힐푸르지오A2,대장동,"119,500",,12,2026,4,9,2021,41135, ,True
더샵분당파크리버,정자동,"164,400",,31,2026,4,7,2021,41135, ,True
청솔마을(동아),금곡동,"140,000",,12,2026,4,1,1995,41135, ,True
효자촌(럭키),서현동,"62,000",,7,2026,4,2,1994,41135, ,True
양지마을(5단지)(한양501-514),수내동,"117,500",,3,2026,4,2,1992,41135, ,True
SK-VIEW,야탑동,"93,000",,17,2026,4,3,2003,41135, ,True
한솔마을(6단지)(주공),정자동,"103,000",,8,2026,4,3,1995,41135, ,True
양지마을(5단지)(한양501-514),수내동,"117,000",,5,2026,4,3,1992,41135, ,True
한솔마을(5단지)(주공),정자동,"165,000",,7,2026,4,2,1994,41135, ,True
시범현대,서현동,"195,000",,24,2026,4,2,1991,41135, ,True
청솔마을(주공9단지),금곡동,"82,100",,13,2026,4,1,1995,41135, ,True
이매촌(진흥),이매동,"152,000",,2,2026,4,1,1993,41135, ,True
그대가프리미어,망포동,"100,000",,11,2026,4,10,2010,41117, ,True
벽적골9단지주공,영통동,"60,000",,10,2026,4,10,1999,41117, ,True
신나무실휴먼시아5단지,영통동,"35,000",,7,2026,4,10,1997,41117, ,True
광교모아엘가레이크뷰,하동,"86,500",,14,2026,4,10,2014,41117, ,True
신나무실풍림,영통동,"72,500",,8,2026,4,10,2000,41117, ,True
원천레이크파크,원천동,"34,200",,14,2026,4,9,1999,41117, ,True
망포역아이파크,망포동,"65,000",,18,2026,4,10,2002,41117, ,True
현대,매탄동,"44,700",,12,2026,4,9,1989,41117, ,True
영통하우스토리,영통동,"89,000",,8,2026,4,9,2008,41117, ,True
벽적골한신,영통동,"51,000",,15,2026,4,9,1997,41117, ,True
삼성1,매탄동,"24,500",,1,2026,4,9,1988,41117, ,True
주공,원천동,"27,000",,5,2026,4,6,1987,41117, ,True
동수원자이2차,망포동,"66,500",,18,2026,4,7,2002,41117, ,True
벽적골한신,영통동,"48,500",,19,2026,4,9,1997,41117, ,True
늘푸른벽산,망포동,"40,600",,3,2026,4,8,2000,41117, ,True
광교역참누리포레스트,이의동,"74,000",,7,2026,4,6,2015,41117, ,True
황골마을주공1,영통동,"37,900",,13,2026,4,3,1997,41117, ,True
망포마을쌍용1차,망포동,"58,000",,13,2026,4,3,2002,41117, ,True
영통아이파크,영통동,"43,750",,6,2026,4,8,2006,41117, ,True
벽적골주공휴먼시아8단지,영통동,"30,000",,12,2026,4,8,1997,41117, ,True
청명마을(주공),영통동,"55,000",,16,2026,4,8,1997,41117, ,True
임광,매탄동,"54,500",,10,2026,4,3,1990,41117, ,True
힐스테이트광교,하동,"158,000",,34,2026,4,3,2018,41117, ,True
벽적골9단지주공,영통동,"60,000",,7,2026,4,8,1999,41117, ,True
광교호반베르디움트라엘,이의동,"126,500",,11,2026,4,7,2017,41117, ,True
센트럴하이츠,망포동,"85,400",,8,2026,4,8,2010,41117, ,True
한국2,매탄동,"54,300",,3,2026,4,1,1993,41117, ,True
신나무실신성,영통동,"42,000",,19,2026,4,7,1997,41117, ,True
영통아이파크캐슬2단지,망포동,"79,500",,2,2026,4,7,2019,41117, ,True
영통에듀파크(321동~327동),영통동,"79,800",,3,2026,4,7,1997,41117, ,True
신나무실신성,영통동,"44,300",,10,2026,4,7,1997,41117, ,True
영통아이파크캐슬3단지,망포동,"73,000",,3,2026,4,7,2022,41117, ,True
영통아이파크캐슬2단지,망포동,"84,000",,7,2026,4,7,2019,41117, ,True
e편한세상영통2차(1단지),망포동,"58,600",,10,2026,4,7,2016,41117, ,True
영통롯데캐슬엘클래스1단지,망포동,"93,500",,6,2026,4,7,2022,41117, ,True
광교중흥에스클래스,원천동,"190,000",,47,2026,4,2,2019,41117, ,True
주공그린빌3,매탄동,"49,700",,6,2026,4,4,2002,41117, ,True
청명마을(주공),영통동,"49,700",,9,2026,4,7,1997,41117, ,True
벽적골9단지주공,영통동,"57,000",,11,2026,4,7,1999,41117, ,True
청명마을(주공),영통동,"51,000",,7,2026,4,6,1997,41117, ,True
망포벽산이빌리지,망포동,"41,000",,14,2026,4,4,2002,41117, ,True
신나무실진흥,영통동,"43,000",,17,2026,4,7,1997,41117, ,True
황골마을주공1,영통동,"50,800",,8,2026,4,6,1997,41117, ,True
벽적골9단지주공,영통동,"63,500",,18,2026,4,6,1999,41117, ,True
힐스테이트영통,망포동,"123,500",,4,2026,4,6,2017,41117, ,True
황골마을한국,영통동,"37,000",,5,2026,4,6,1998,41117, ,True
벽적골9단지주공,영통동,"48,100",,8,2026,4,4,1999,41117, ,True
매탄위브하늘채,매탄동,"75,000",,8,2026,4,6,2008,41117, ,True
벽적골롯데,영통동,"42,500",,3,2026,4,6,2002,41117, ,True
쌍용스윗닷홈2차,망포동,"38,000",,5,2026,4,6,2004,41117, ,True
망포마을쌍용1차,망포동,"67,800",,5,2026,4,6,2002,41117, ,True
영통롯데캐슬엘클래스1단지,망포동,"85,700",,5,2026,4,6,2022,41117, ,True
망포쌍용에듀파크,망포동,"41,100",,11,2026,4,6,2004,41117, ,True
황골마을(쌍용),영통동,"37,000",,2,2026,4,6,1998,41117, ,True
영흥숲푸르지오파크비엔,원천동,"131,500",,9,2026,4,6,2023,41117, ,True
임광,매탄동,"42,500",,12,2026,4,4,1990,41117, ,True
벽적골주공휴먼시아8단지,영통동,"36,500",,1,2026,4,6,1997,41117, ,True
벽적골롯데,영통동,"59,500",,10,2026,4,6,2002,41117, ,True
벽적골9단지주공,영통동,"55,000",,12,2026,4,6,1999,41117, ,True
벽산(1053-2),영통동,"47,620",,2,2026,4,6,1997,41117, ,True
광교역참누리포레스트,이의동,"73,300",,5,2026,4,1,2015,41117, ,True
센트럴하이츠,망포동,"86,250",,4,2026,4,3,2010,41117, ,True
대우월드마크,영통동,"82,500",,34,2026,4,6,2008,41117, ,True
성일,매탄동,"19,000",,13,2026,4,6,1988,41117, ,True
벽적골롯데,영통동,"31,500",,9,2026,4,3,2002,41117, ,True
영통롯데캐슬엘클래스1단지,망포동,"90,000",,12,2026,4,4,2022,41117, ,True
벽적골주공휴먼시아8단지,영통동,"32,500",,6,2026,4,4,1997,41117, ,True
망포현대2아이파크,망포동,"63,000",,19,2026,4,4,2002,41117, ,True
황골마을(쌍용),영통동,"41,000",,4,2026,4,4,1998,41117, ,True
신나무실진흥,영통동,"43,000",,15,2026,4,4,1997,41117, ,True
황골마을한국,영통동,"38,000",,13,2026,4,4,1998,41117, ,True
동수원자이1차,망포동,"64,000",,17,2026,4,4,2001,41117, ,True
광교호반베르디움트라엘,이의동,"106,000",,1,2026,4,4,2017,41117, ,True
e편한세상영통2차(2단지),망포동,"58,000",,17,2026,4,4,2016,41117, ,True
광교아이파크,원천동,"149,000",,25,2026,4,4,2018,41117, ,True
영통아이파크캐슬1단지,망포동,"91,500",,7,2026,4,4,2019,41117, ,True
그대가프리미어,망포동,"113,000",,19,2026,4,4,2010,41117, ,True
청명마을(주공),영통동,"51,000",,2,2026,4,4,1997,41117, ,True
한양수자인,망포동,"81,000",,2,2026,4,4,2013,41117, ,True
벽적골롯데,영통동,"45,700",,15,2026,4,4,2002,41117, ,True
신나무실휴먼시아5단지,영통동,"39,400",,13,2026,4,3,1997,41117, ,True
건영1차,영통동,"84,000",,4,2026,4,4,1999,41117, ,True
e편한세상영통2차(1단지),망포동,"64,800",,6,2026,4,4,2016,41117, ,True
SummitPlace광교,이의동,"188,000",,15,2026,4,4,2015,41117, ,True
한양수자인,망포동,"97,500",,8,2026,4,4,2013,41117, ,True
매탄위브하늘채,매탄동,"78,500",,21,2026,4,4,2008,41117, ,True
영통아이파크캐슬1단지,망포동,"96,000",,21,2026,4,3,2019,41117, ,True
광교2차e편한세상,이의동,"108,000",,6,2026,4,3,2011,41117, ,True
황골마을주공1,영통동,"48,000",,12,2026,4,3,1997,41117, ,True
삼성,영통동,"62,000",,6,2026,4,3,1997,41117, ,True
동수원자이2차,망포동,"65,200",,14,2026,4,4,2002,41117, ,True
황골마을주공1,영통동,"50,900",,12,2026,4,4,1997,41117, ,True
주공,원천동,"37,000",,12,2026,4,3,1987,41117, ,True
신나무실쌍용,영통동,"42,500",,15,2026,4,2,1997,41117, ,True
삼정라츠,망포동,"40,000",,3,2026,4,3,2008,41117, ,True
삼성,영통동,"57,800",,5,2026,4,3,1997,41117, ,True
e-편한세상,매탄동,"84,000",,13,2026,4,3,2010,41117, ,True
한양수자인,망포동,"75,500",,18,2026,4,3,2013,41117, ,True
벽적골한신,영통동,"53,000",,14,2026,4,3,1997,41117, ,True
주공,원천동,"28,300",,12,2026,4,3,1987,41117, ,True
삼성1,매탄동,"36,200",,14,2026,4,3,1988,41117, ,True
영통센트럴파크뷰,영통동,"50,000",,6,2026,4,3,1999,41117, ,True
영통에듀파크(321동~327동),영통동,"81,000",,18,2026,4,3,1997,41117, ,True
신나무실신성,영통동,"44,750",,9,2026,4,3,1997,41117, ,True
황골마을주공1,영통동,"52,000",,7,2026,4,2,1997,41117, ,True
광교 해모로 아파트,이의동,"75,000",,10,2026,4,2,2011,41117, ,True
신나무실쌍용,영통동,"39,000",,7,2026,4,2,1997,41117, ,True
신나무실풍림,영통동,"78,000",,18,2026,4,2,2000,41117, ,True
벽적골한신,영통동,"47,500",,14,2026,4,2,1997,41117, ,True
황골마을주공1,영통동,"48,500",,18,2026,4,2,1997,41117, ,True
삼성1,원천동,"23,000",,14,2026,4,2,1992,41117, ,True
벽적골9단지주공,영통동,"54,700",,16,2026,4,2,1999,41117, ,True
벽적골롯데,영통동,"41,500",,2,2026,4,2,2002,41117, ,True
황골마을주공1,영통동,"40,000",,1,2026,4,2,1997,41117, ,True
황골마을주공1,영통동,"46,000",,10,2026,4,1,1997,41117, ,True
매탄레이크파크,매탄동,"39,000",,19,2026,4,1,1999,41117, ,True
엘지동수원자이,망포동,"62,500",,9,2026,4,1,2003,41117, ,True
벽적골롯데,영통동,"62,000",,14,2026,4,1,2002,41117, ,True
황골마을(쌍용),영통동,"40,000",,6,2026,4,1,1998,41117, ,True
영통에듀파크(331동~337동),영통동,"83,000",,12,2026,4,1,1997,41117, ,True
태영,영통동,"48,000",,1,2026,4,1,1997,41117, ,True
방죽마을영통뜨란채,망포동,"56,000",,11,2026,4,1,2005,41117, ,True
원천레이크파크,원천동,"46,000",,6,2026,4,1,1999,41117,26.04.01,True
매탄위브하늘채,매탄동,"65,800",,23,2026,4,1,2008,41117, ,True
청명마을동신,영통동,"96,000",,13,2026,4,1,1998,41117, ,True
광교2차e편한세상,이의동,"109,000",,6,2026,4,1,2011,41117, ,True
e편한세상영통2차(2단지),망포동,"63,700",,22,2026,4,1,2016,41117, ,True
삼성,영통동,"62,500",,11,2026,4,1,1997,41117, ,True
광교중흥에스클래스,원천동,"189,000",,20,2026,4,1,2019,41117, ,True
황골마을주공1,영통동,"44,500",,4,2026,4,1,1997,41117, ,True
과천푸르지오써밋,중앙동,"267,000",,12,2026,4,1,2020,41290, ,True
과천자이,별양동,"164,000",,5,2026,4,6,2022,41290, ,True
래미안슈르,별양동,"192,000",,15,2026,4,4,2008,41290, ,True
과천푸르지오써밋,중앙동,"265,000",,19,2026,4,1,2020,41290, ,True
롯데3차,좌동,"36,000",,4,2026,4,9,1997,26350, ,True
해운대힐스테이트위브,중동,"82,000",,24,2026,4,8,2015,26350, ,True
두산1차아파트,좌동,"22,200",,12,2026,4,7,1996,26350, ,True
엘지,좌동,"70,000",,19,2026,4,3,1996,26350, ,True
이진캐스빌,중동,"28,000",,2,2026,4,9,1989,26350, ,True
더샵센텀파크1차,재송동,"118,000",,30,2026,4,3,2005,26350, ,True
삼강,중동,"19,000",,8,2026,4,8,1983,26350, ,True
아시아선수촌아파트,반여동,"36,000",,9,2026,4,8,2002,26350, ,True
해운대힐스테이트위브,중동,"66,000",,8,2026,4,1,2015,26350, ,True
경남마리나,우동,"61,000",,3,2026,4,7,1996,26350, ,True
해운대동백두산위브더제니스,우동,"81,000",,15,2026,4,8,2019,26350, ,True
센텀롯데캐슬2차,반여동,"34,000",,23,2026,4,2,2005,26350, ,True
롯데,우동,"65,500",,15,2026,4,1,1993,26350, ,True
센텀이편한세상,재송동,"68,000",,5,2026,4,8,2006,26350, ,True
청목마리안,중동,"59,000",,5,2026,4,8,2004,26350, ,True
삼호가든맨션,우동,"74,500",,10,2026,4,2,1985,26350, ,True
해운대협성엠파이어,우동,"34,000",,6,2026,4,3,2011,26350, ,True
센텀대림,반여동,"23,500",,8,2026,4,7,1996,26350, ,True
SKVIEW,좌동,"24,900",,10,2026,4,5,1998,26350, ,True
벽산1,좌동,"67,500",,1,2026,4,4,1996,26350, ,True
대동타운,좌동,"27,500",,3,2026,4,6,1996,26350, ,True
SKVIEW,좌동,"30,800",,20,2026,4,6,1998,26350, ,True
대우동삼,우동,"59,500",,9,2026,4,6,1993,26350, ,True
한일,좌동,"64,000",,3,2026,4,6,1996,26350, ,True
대림,좌동,"43,000",,16,2026,4,6,1996,26350, ,True
광하주택3,반송동,"8,500",,3,2026,4,1,1990,26350, ,True
센텀경동리인,우동,"58,800",,13,2026,4,6,2018,26350, ,True
벽산2,좌동,"30,200",,11,2026,4,2,1996,26350, ,True
삼강,중동,"8,000",,1,2026,4,6,1983,26350, ,True
삼한2,반송동,"13,500",,19,2026,4,1,1997,26350, ,True
화목,좌동,"44,000",,3,2026,4,4,1996,26350, ,True
센텀피오레1차,재송동,"53,500",,18,2026,4,4,2005,26350, ,True
센텀협성르네상스타운,재송동,"64,500",,19,2026,4,4,2013,26350, ,True
상록,좌동,"28,400",,7,2026,4,4,1998,26350, ,True
해운대송정우림필유아파트,송정동,"33,000",,23,2026,4,3,2015,26350, ,True
센텀삼환Nauville,우동,"52,300",,19,2026,4,4,1996,26350, ,True
대우,좌동,"40,500",,18,2026,4,1,1996,26350, ,True
해운대경동리인뷰1차,중동,"110,000",,42,2026,4,2,2021,26350, ,True
삼한그린맨션,반송동,"6,500",,6,2026,4,2,1990,26350, ,True
대우,좌동,"43,000",,15,2026,4,2,1996,26350, ,True
센텀우신골든빌,재송동,"24,000",,4,2026,4,2,2006,26350, ,True
센텀이편한세상,재송동,"67,950",,3,2026,4,2,2006,26350, ,True
센텀삼환Nauville,우동,"50,800",,12,2026,4,1,1996,26350, ,True
한일,좌동,"46,500",,3,2026,4,1,1996,26350, ,True
벽산2,좌동,"37,000",,19,2026,4,1,1996,26350, ,True
범어태왕아너스,범어동,"56,800",,17,2026,4,5,2006,27260,26.04.11,True
메트로팔레스2,만촌동,"39,500",,22,2026,4,1,2003,27260, ,True
만촌우방타운1단지,만촌동,"38,000",,13,2026,4,9,1997,27260, ,True
더트루엘수성,범물동,"59,700",,6,2026,4,7,2022,27260, ,True
태왕4하이츠,욱수동,"34,300",,5,2026,4,7,2004,27260, ,True
만촌태왕리더스,만촌동,"45,600",,9,2026,4,3,2004,27260, ,True
하나타운,매호동,"15,200",,3,2026,4,9,1995,27260, ,True
유림노르웨이숲,범어동,"105,000",,15,2026,4,8,2006,27260, ,True
태왕하이츠리버뷰,수성동1가,"46,000",,12,2026,4,8,2004,27260, ,True
범어아이파크1차아파트,범어동,"172,000",,4,2026,4,8,2024,27260, ,True
범어역아이위시,범어동,"24,500",,13,2026,4,1,2013,27260, ,True
누리타운,매호동,"14,100",,10,2026,4,4,1995,27260, ,True
수성더팰리스푸르지오더샵,파동,"34,500",,5,2026,4,8,2025,27260, ,True
태왕하이츠1,신매동,"22,000",,10,2026,4,1,2000,27260, ,True
수성보성,수성동4가,"42,500",,13,2026,4,7,1996,27260, ,True
수성더팰리스푸르지오더샵,파동,"46,700",,15,2026,4,7,2025,27260, ,True
수성더팰리스푸르지오더샵,파동,"47,300",,24,2026,4,6,2025,27260, ,True
수성푸르지오리버센트,중동,"80,000",,22,2026,4,7,2024,27260, ,True
신매역우방유셀,매호동,"29,500",,5,2026,4,6,2007,27260, ,True
매호동서타운,매호동,"30,500",,12,2026,4,1,1995,27260, ,True
시지동화아이위시,사월동,"37,500",,11,2026,4,6,2013,27260, ,True
범어쌍용예가,범어동,"98,000",,13,2026,4,4,2009,27260, ,True
한일유앤아이,매호동,"31,300",,18,2026,4,3,2006,27260, ,True
메트로팔레스3,만촌동,"43,750",,3,2026,4,1,2003,27260, ,True
시지매호2동서,매호동,"24,000",,4,2026,4,4,1999,27260, ,True
수성SK리더스뷰,두산동,"125,000",,33,2026,4,3,2010,27260, ,True
e편한세상범어,범어동,"73,000",,7,2026,4,5,2015,27260, ,True
시지효성백년가약2단지,신매동,"92,000",,10,2026,4,5,2008,27260, ,True
천마타운,신매동,"49,500",,4,2026,4,4,1994,27260, ,True
메트로팔레스3,만촌동,"51,500",,6,2026,4,4,2003,27260, ,True
수성영남,수성동1가,"32,400",,11,2026,4,4,2000,27260, ,True
대우트럼프월드수성,두산동,"63,000",,33,2026,4,4,2007,27260, ,True
우방미진하이츠,범물동,"24,500",,20,2026,4,3,2000,27260, ,True
우방금탑,만촌동,"34,400",,9,2026,4,1,1986,27260, ,True
수성롯데캐슬,수성동4가,"72,000",,5,2026,4,3,2008,27260, ,True
사월화성파크드림(1단지),신매동,"43,000",,14,2026,4,3,2006,27260, ,True
힐스테이트범어센트럴,범어동,"105,000",,27,2026,4,3,2022,27260, ,True
태왕하이츠2,매호동,"28,200",,3,2026,4,2,2001,27260, ,True
태왕하이츠리버뷰,수성동1가,"58,500",,14,2026,4,1,2004,27260, ,True
오성우방,수성동1가,"21,700",,18,2026,4,1,1993,27260, ,True
캐슬골드파크1단지,황금동,"34,700",,15,2026,4,2,2006,27260, ,True
메트로팔레스3,만촌동,"46,850",,13,2026,4,1,2003,27260, ,True
메트로팔레스2,만촌동,"72,000",,11,2026,4,1,2003,27260, ,True
캐슬골드파크5단지,황금동,"50,900",,12,2026,4,1,2006,27260, ,True
수성더팰리스푸르지오더샵,파동,"49,000",,11,2026,4,1,2025,27260, ,True
범물영남,범물동,"33,000",,10,2026,4,1,1992,27260, ,True
수성태영데시앙,수성동4가,"97,000",,19,2026,4,1,2008,27260, ,True
범어센트럴푸르지오,범어동,"119,950",,28,2026,4,1,2019,27260, ,True
"연수타운(금호,동아)",동춘동,"43,000",,8,2026,4,8,1993,28185, ,True
아주,동춘동,"26,500",,5,2026,4,4,1994,28185, ,True
서해그랑블포레스트,동춘동,"40,000",,15,2026,4,10,2019,28185, ,True
아주1,옥련동,"14,500",,5,2026,4,1,1997,28185, ,True
현대4,옥련동,"30,500",,11,2026,4,7,1997,28185, ,True
동남,동춘동,"21,800",,4,2026,4,10,1994,28185, ,True
동남,동춘동,"22,600",,5,2026,4,9,1994,28185, ,True
풍림1,연수동,"36,000",,6,2026,4,4,1992,28185, ,True
대동,연수동,"37,250",,11,2026,4,1,1993,28185, ,True
윤성,선학동,"20,300",,11,2026,4,1,1995,28185, ,True
송도아메리칸타운아이파크,송도동,"78,700",,23,2026,4,4,2018,28185, ,True
연수주공2차,연수동,"19,100",,6,2026,4,4,1992,28185, ,True
호반써밋송도,송도동,"63,700",,22,2026,4,4,2023,28185, ,True
대림3,동춘동,"19,700",,1,2026,4,1,1993,28185, ,True
송도SKVIEW,송도동,"61,700",,1,2026,4,9,2019,28185, ,True
송도푸르지오월드마크7단지,송도동,"61,000",,16,2026,4,7,2010,28185, ,True
현대1,옥련동,"26,000",,18,2026,4,8,1994,28185, ,True
송도에듀포레푸르지오,송도동,"59,900",,23,2026,4,8,2016,28185, ,True
e편한세상송도,송도동,"53,000",,26,2026,4,4,2018,28185, ,True
동남,청학동,"13,500",,2,2026,4,1,1988,28185, ,True
인천송도힐스테이트4단지,송도동,"83,500",,19,2026,4,2,2011,28185, ,True
삼용,청학동,"41,000",,8,2026,4,7,1994,28185, ,True
베르디움더퍼스트,송도동,"73,000",,5,2026,4,1,2017,28185, ,True
더샵엑스포6단지,송도동,"94,000",,12,2026,4,7,2009,28185, ,True
송도더샵마스터뷰23-1BL,송도동,"86,000",,21,2026,4,7,2015,28185, ,True
"승기마을,연수1차시영",연수동,"11,500",,13,2026,4,6,1992,28185, ,True
베르디움더퍼스트,송도동,"54,900",,13,2026,4,6,2017,28185, ,True
송도SKVIEW,송도동,"88,000",,17,2026,4,1,2019,28185, ,True
무지개마을,동춘동,"41,800",,7,2026,4,5,1995,28185, ,True
송도역서해그랑블,옥련동,"45,500",,28,2026,4,1,2024,28185, ,True
글로벌캠퍼스푸르지오,송도동,"91,500",,44,2026,4,6,2013,28185, ,True
대동,연수동,"28,800",,11,2026,4,4,1993,28185, ,True
더샵엑스포10단지,송도동,"88,500",,7,2026,4,1,2009,28185, ,True
풍림1,연수동,"34,200",,9,2026,4,4,1992,28185, ,True
연수대우.삼환,동춘동,"44,300",,8,2026,4,1,1994,28185, ,True
우성2,연수동,"22,000",,11,2026,4,4,1994,28185, ,True
글로벌캠퍼스푸르지오,송도동,"74,000",,28,2026,4,5,2013,28185, ,True
송도글로벌파크베르디움,송도동,"75,800",,20,2026,4,5,2017,28185, ,True
송도오션파크베르디움,송도동,"61,500",,24,2026,4,5,2020,28185, ,True
송도오션파크베르디움,송도동,"60,000",,14,2026,4,3,2020,28185, ,True
더샵그린스퀘어,송도동,"81,000",,2,2026,4,4,2014,28185, ,True
"연수타운(금호,동아)",동춘동,"52,500",,14,2026,4,2,1993,28185, ,True
"승기마을,연수1차시영",연수동,"11,000",,6,2026,4,3,1992,28185, ,True
한국,옥련동,"29,000",,9,2026,4,3,1997,28185, ,True
동남,동춘동,"21,800",,4,2026,4,2,1994,28185,26.04.09,True
송도역서해그랑블,옥련동,"46,000",,22,2026,4,4,2024,28185, ,True
풍림3,동춘동,"33,200",,1,2026,4,4,1993,28185, ,True
롯데캐슬캠퍼스타운,송도동,"74,500",,36,2026,4,4,2016,28185, ,True
호반써밋송도,송도동,"65,000",,20,2026,4,2,2023,28185, ,True
베르디움더퍼스트,송도동,"66,400",,28,2026,4,4,2017,28185, ,True
"연수타운(금호,동아)",동춘동,"43,500",,2,2026,4,2,1993,28185, ,True
쌍용,옥련동,"34,800",,7,2026,4,4,1998,28185, ,True
연수서해그랑블1단지,동춘동,"53,000",,17,2026,4,3,2017,28185, ,True
백산2,옥련동,"29,000",,3,2026,4,1,1997,28185, ,True
연수대우.삼환,동춘동,"42,000",,1,2026,4,2,1994,28185, ,True
송도더샵퍼스트파크F13-1BL,송도동,"95,000",,11,2026,4,2,2017,28185, ,True
송도글로벌파크베르디움,송도동,"72,500",,10,2026,4,2,2017,28185, ,True
e편한세상송도,송도동,"62,800",,12,2026,4,1,2018,28185, ,True
동춘마을,동춘동,"25,400",,3,2026,4,1,1994,28185, ,True
해모로월드뷰,송도동,"81,000",,13,2026,4,1,2012,28185, ,True
더샵송도마리나베이,송도동,"60,000",,10,2026,4,1,2020,28185, ,True
대림3,동춘동,"19,000",,5,2026,4,1,1993,28185, ,True
한양2,동춘동,"41,500",,5,2026,4,1,1994,28185, ,True
